Filière,Produit,Production_Tonnes,year
maraîchage,Navet,131708.0,2012
maraîchage,Niora,34850.0,2012
maraîchage,Oignon Vert,3043.0,2012
maraîchage,Patate Douce,25941.0,2012
maraîchage,Petit Pois Vert,131325.0,2012
maraîchage,Piment Poivron,180591.4,2012
oléagineuses,Arachide,36347.9999999998,2012
oléagineuses,Sésame,1610.0,2012
oléagineuses,Tournesol,16722.4,2012
palmiers-dattiers,Palmier Dattier,101862.38,2012
rosacées,Abricotier,122381.6,2012
rosacées,Autres Plantations Fruitières,46272.72,2012
rosacées,Avocatier,5434.0,2012
rosacées,Caroubier,1137.0,2012
rosacées,Cerisier,7196.4,2012
rosacées,Cognassier,45804.0,2012
rosacées,Figuier,102694.72,2012
rosacées,Grenadier,76032.15,2012
rosacées,Noyer,8319.0,2012
rosacées,Néflier,8681.5,2012
rosacées,Pacanier,64.0,2012
rosacées,Pistachier,104.0,2012
rosacées,Poirier,29790.6,2012
rosacées,Prunier,75223.3060024282,2012
rosacées,Pêcher Nectarine,70395.78,2012
vignes,Raisin De Cuve,83952.64232,2012
vignes,Raisin De Table,193158.92901132,2012
agrumes,Autres Agrumes,10901.28,2013
agrumes,Citron,26941.79,2013
agrumes,Orange Autres,37232.7,2013
agrumes,Orange Navel Lane Late,11069.125,2013
agrumes,Orange Navel Late,2130.2,2013
agrumes,Orange Navelina,114.825,2013
agrumes,Orange Salustiana,19226.14,2013
agrumes,Orange Washignton Sanguine,56246.88,2013
agrumes,Pamplemousse,120.0,2013
agrumes,Petit Fruit Autres,43961.4432258064,2013
agrumes,Petit Fruit Fortune,864.0,2013
agrumes,Petit Fruit Nador Cott,59806.0,2013
agrumes,Petit Fruit Nour,95309.6,2013
agrumes,Petit Fruit Nova,7679.13333333333,2013
agrumes,Petit Fruit Nules,59739.4244657534,2013
agrumes,Petit Fruit Ortanique,8309.2,2013
amandiers,Amandier,93310.29,2013
céréales,Avoine,46331.33,2013
céréales,Mais,118135.85,2013
céréales,Riz,37716.2999999999,2013
céréales,Sorgho,4840.0,2013
fourragères,Lupin,35244.0,2013
fourragères,Pois Fourrager,71035.0,2013
fourragères,Sorgho Fourrager,32515.0,2013
fourragères,Triticale,1806.6,2013
