date,Produit,Production_tonnes
1989-01-01,Aubergines,31700.0
1990-01-01,Aubergines,42159.0
1991-01-01,Aubergines,31871.0
1992-01-01,Aubergines,29481.0
1993-01-01,Aubergines,27975.0
1994-01-01,Aubergines,26000.0
1995-01-01,Aubergines,24010.0
1996-01-01,Aubergines,33150.0
1997-01-01,Aubergines,42900.0
1998-01-01,Aubergines,44430.0
1999-01-01,Aubergines,37940.0
2000-01-01,Aubergines,34190.0
2001-01-01,Aubergines,29670.0
2002-01-01,Aubergines,30650.0
2003-01-01,Aubergines,38440.0
2004-01-01,Aubergines,38970.0
2005-01-01,Aubergines,49973.0
2006-01-01,Aubergines,56620.0
2007-01-01,Aubergines,33715.0
2008-01-01,Aubergines,34805.0
2009-01-01,Aubergines,30491.0
2010-01-01,Aubergines,38001.0
2011-01-01,Aubergines,34823.0
2012-01-01,Aubergines,50147.0
2013-01-01,Aubergines,71976.6
2014-01-01,Aubergines,70291.0
2015-01-01,Aubergines,56877.0
2016-01-01,Aubergines,22720.5
2017-01-01,Aubergines,52966.0
2018-01-01,Aubergines,52754.0
2019-01-01,Aubergines,68266.0
2020-01-01,Aubergines,60912.6
2021-01-01,Aubergines,81044.0
2022-01-01,Aubergines,60998.0
2023-01-01,Aubergines,109319.0
1961-01-01,Avocats,1000.0
1962-01-01,Avocats,1000.0
1963-01-01,Avocats,1000.0
1964-01-01,Avocats,1000.0
1965-01-01,Avocats,1000.0
1966-01-01,Avocats,1000.0
1967-01-01,Avocats,1000.0
1968-01-01,Avocats,1000.0
1969-01-01,Avocats,1000.0
1970-01-01,Avocats,1000.0
1971-01-01,Avocats,1000.0
1972-01-01,Avocats,1000.0
1973-01-01,Avocats,1000.0
1974-01-01,Avocats,1000.0
1975-01-01,Avocats,1000.0
1976-01-01,Avocats,1000.0
1977-01-01,Avocats,1000.0
1978-01-01,Avocats,1000.0
1979-01-01,Avocats,1000.0
1980-01-01,Avocats,1000.0
1981-01-01,Avocats,1000.0
1982-01-01,Avocats,1000.0
1983-01-01,Avocats,1000.0
1984-01-01,Avocats,1000.0
1985-01-01,Avocats,2000.0
1986-01-01,Avocats,2500.0
1987-01-01,Avocats,3000.0
1988-01-01,Avocats,3500.0
1989-01-01,Avocats,4000.0
1990-01-01,Avocats,4500.0
1991-01-01,Avocats,5000.0
1992-01-01,Avocats,5500.0
1993-01-01,Avocats,6000.0
1994-01-01,Avocats,7000.0
1995-01-01,Avocats,8000.0
1996-01-01,Avocats,9000.0
1997-01-01,Avocats,10000.0
1998-01-01,Avocats,11000.0
1999-01-01,Avocats,13000.0
2000-01-01,Avocats,13000.0
2001-01-01,Avocats,13600.0
2002-01-01,Avocats,13500.0
2003-01-01,Avocats,14500.0
2004-01-01,Avocats,15700.0
2005-01-01,Avocats,13400.0
2006-01-01,Avocats,16400.0
2007-01-01,Avocats,16896.0
2008-01-01,Avocats,19253.0
2009-01-01,Avocats,26000.0
2010-01-01,Avocats,33645.0
2011-01-01,Avocats,33519.0
2012-01-01,Avocats,54340.0
2013-01-01,Avocats,28079.5
2014-01-01,Avocats,31895.5
2015-01-01,Avocats,42732.0
2016-01-01,Avocats,42256.0
2017-01-01,Avocats,41695.34
2018-01-01,Avocats,51170.0
2019-01-01,Avocats,54576.0
2020-01-01,Avocats,69940.0
2021-01-01,Avocats,82369.0
2022-01-01,Avocats,98720.0
2023-01-01,Avocats,118666.0
1961-01-01,Carottes et navets,23000.0
1962-01-01,Carottes et navets,29000.0
1963-01-01,Carottes et navets,34000.0
1964-01-01,Carottes et navets,49000.0
1965-01-01,Carottes et navets,31000.0
1966-01-01,Carottes et navets,33000.0
1967-01-01,Carottes et navets,34000.0
1968-01-01,Carottes et navets,36000.0
1969-01-01,Carottes et navets,35000.0
1970-01-01,Carottes et navets,40000.0
1971-01-01,Carottes et navets,40000.0
1972-01-01,Carottes et navets,40000.0
1973-01-01,Carottes et navets,42000.0
1974-01-01,Carottes et navets,43000.0
1975-01-01,Carottes et navets,44000.0
1976-01-01,Carottes et navets,45000.0
1977-01-01,Carottes et navets,46000.0
1978-01-01,Carottes et navets,50000.0
1979-01-01,Carottes et navets,50000.0
1980-01-01,Carottes et navets,52000.0
1981-01-01,Carottes et navets,53000.0
1982-01-01,Carottes et navets,54000.0
1983-01-01,Carottes et navets,60000.0
1984-01-01,Carottes et navets,70000.0
1985-01-01,Carottes et navets,80000.0
1986-01-01,Carottes et navets,100000.0
1987-01-01,Carottes et navets,140300.0
1988-01-01,Carottes et navets,125000.0
1989-01-01,Carottes et navets,162187.0
1990-01-01,Carottes et navets,179791.0
1991-01-01,Carottes et navets,187055.0
1992-01-01,Carottes et navets,161384.0
1993-01-01,Carottes et navets,168900.0
1994-01-01,Carottes et navets,165800.0
1995-01-01,Carottes et navets,223525.0
1996-01-01,Carottes et navets,224500.0
1997-01-01,Carottes et navets,221400.0
1998-01-01,Carottes et navets,229000.0
1999-01-01,Carottes et navets,220850.0
2000-01-01,Carottes et navets,209510.0
2001-01-01,Carottes et navets,198370.0
2002-01-01,Carottes et navets,233390.0
2003-01-01,Carottes et navets,332210.0
2004-01-01,Carottes et navets,311090.0
2005-01-01,Carottes et navets,373125.0
2006-01-01,Carottes et navets,298975.0
2007-01-01,Carottes et navets,232165.0
2008-01-01,Carottes et navets,280995.0
2009-01-01,Carottes et navets,239050.0
2010-01-01,Carottes et navets,264272.0
2011-01-01,Carottes et navets,427734.0
2012-01-01,Carottes et navets,707316.0
2013-01-01,Carottes et navets,509370.5
2014-01-01,Carottes et navets,474055.8
